"System Name","Distance To Arrival","Distance Remaining","Neutron Star","Jumps"
"Pegasi Sector YH-X a16-4","0","21873.1012980002","No","0"
"PSR J1752-2806","387.895768155732","21629.3877108911","Yes","7"
"Nova Aquila No 3","379.383912838054","21349.9114306519","Yes","1"
"Col 359 Sector HN-J d9-50","392.799424255322","20972.7747608637","Yes","1"
"Pru Euq JC-D d12-56","418.212083373601","20606.8454064771","Yes","1"
"Bleae Thua FA-A d44","399.926023432772","20251.2831967324","Yes","1"
"Bleia Eohn PU-V d3-102","392.361731716569","19867.0048591929","Yes","1"
"Bleae Thua HX-L d7-24","377.786722393982","19503.1726400936","Yes","1"
"Bleia Eohn ZS-F d12-68","416.648193080055","19139.8693692683","Yes","1"
"Drojeae KW-C d41","332.612160946311","18841.1087897643","Yes","1"
"Drojeae EW-T d4-11","417.289180024626","18423.9937700666","Yes","1"
"Drojeae II-Q d6-13","370.264967941034","18094.7211926853","Yes","1"
"Drojeae AN-H d11-86","416.117099419968","17680.6012855158","Yes","1"
"Blae Drye GX-A d1-88","418.879350357892","17262.5585488745","Yes","1"
"Traikoa XE-R d4-54","395.204472640825","16934.4870120511","Yes","1"
"Bleae Eurk TC-M d7-103","426.236382892829","16557.1116021619","Yes","1"
"Bleae Eurk MH-D d12-173","389.464814581337","16189.0329257584","Yes","1"
"Byua Eurk NL-Y d190","393.625776535436","15803.1280044057","Yes","1"
"Pyraleau EH-S d5-1","412.213414888529","15401.5978874378","Yes","1"
"Byua Eurk BQ-G d10-204","419.195576838097","15005.7979651304","Yes","1"
"Lysoosms HA-A d311","407.983265253077","14598.1576169587","Yes","1"
"Lysoosms SD-T d3-150","413.188495026029","14203.359134862","Yes","1"
"Lysoosms RY-S e3-24","395.831544129728","13808.7371469924","Yes","1"
"Lysoosms CC-D d12-13","411.274971933696","13446.9998453855","Yes","1"
"Flyiedge TI-Z d1-116","424.984840032927","13027.4323074951","Yes","1"
"Flyiedge JC-S d5-55","378.532738583716","12653.4540785189","Yes","1"
"Flyiedge VA-L d9-251","414.280157415396","12252.1340745545","Yes","1"
"Flyiedge GE-E d13-249","415.263223656845","11862.041210339","Yes","1"
"Skaude II-Z d1-22","409.576827633565","11458.4317329771","Yes","1"
"Skaude AN-Q d6-372","396.212750861595","11062.9795231965","Yes","1"
"Skaude TR-H d11-101","407.953329371526","10661.6770992353","Yes","1"
"Prua Phoe PC-B d1-148","428.391799851126","10235.4911775404","Yes","1"
"Eodgorph NL-P d5-1693","399.935691852062","9882.84914667119","Yes","1"
"Prua Phoe WF-L d9-1493","417.640905301732","9470.6424980659","Yes","1"
"Prua Phoe QF-C d14-1403","428.716799006057","9045.18739041565","Yes","1"
"Clooku YK-V d3-872","424.889692716313","8623.1573961915","Yes","1"
"Clooku MJ-O d7-1555","420.965441954934","8202.37693172401","Yes","1"
"Clooku FJ-F d12-317","426.162350088335","7778.40871990327","Yes","1"
"Nuekuae OD-B e3167","413.775096010049","7370.51289060048","Yes","1"
"Stuelou QN-R d5-144","420.412536887133","6955.41542352915","Yes","1"
"Stuelou JS-I d10-569","417.579824891301","6543.37657564825","Yes","1"
"Stuelou UV-B d14-3215","427.506770779715","6135.51812093361","Yes","1"
"Blua Eaec AG-V d3-2262","406.881764776713","5731.19800940841","Yes","1"
"Blua Eaec SK-M d8-1476","422.310351759373","5314.3128954533","Yes","1"
"Blua Eaec JZ-E d12-274","417.506896696405","4909.23671441539","Yes","1"
"Boelts II-A d1-1415","419.594198024264","4515.22795691753","Yes","1"
"Boeph RI-R d5-141","422.464406553602","4093.07854178475","Yes","1"
"Boeph FH-K d9-1449","416.33357480248","3678.43178587293","Yes","1"
"Boeph VQ-B d14-2938","428.370562559086","3265.04630668014","Yes","1"
"Eoch Flyuae ER-U d3-104","426.32073047692","2840.42868717965","Yes","1"
"Eoch Flyuae ZQ-L d8-1106","427.211736922176","2414.73842418316","Yes","1"
"Eoch Flyuae QV-C d13-2375","424.872183215508","1994.42268579391","Yes","1"
"Dryio Flyuae VU-X d1-1528","423.79130283593","1576.0825353398","Yes","1"
"Dryooe Flyou EV-O d6-2009","427.010220621972","1170.84786319573","Yes","1"
"Dryooe Flyou ZU-F d11-1202","426.611070952659","750.709387169479","Yes","1"
"Eol Prou FF-Z d120","426.332207752578","326.808533216029","Yes","1"
"Colonia","326.808533216029","0","No","1"
