"System Name","Distance To Arrival","Distance Remaining","Neutron Star","Jumps"
"Screakoea WX-L c7-74","0","24394.5869040998","No","0"
"Screakoea DF-R d4-180","119.931055226795","24279.9980081422","Yes","2"
"Screakoea LG-Y e39","418.598829989705","23918.5992100274","Yes","1"
"Screakoi ZP-P d5-23","417.770693729302","23510.0334972122","Yes","1"
"Screakoi AK-R d4-145","428.023261177912","23128.0961233732","Yes","1"
"Screakoi LL-P d5-113","418.618671103995","22715.5889646029","Yes","1"
"Dryae Priae ET-O d7-31","407.516626386274","22319.5728017307","Yes","1"
"Dryae Priae FN-Q d6-52","408.589707197973","21935.7947968193","Yes","1"
"Dryae Priae QO-O d7-82","397.684581505478","21547.8366100234","Yes","1"
"Dryooe Priae HZ-M d8-60","419.755612724907","21133.830815923","Yes","1"
"Dryooe Priae AY-F d12-18","408.965913205566","20773.2641289776","Yes","1"
"Agnaims EW-C d53","353.848641834507","20446.0600038648","Yes","1"
"Cumbeou NA-A d23","401.425960493106","20065.7851802856","Yes","1"
"Hypi Flee NS-U d2-82","423.437461946493","19649.2792132832","Yes","1"
"Hypi Flee UD-T d3-11","427.435572859013","19228.1879880987","Yes","1"
"Hypi Flee PX-L d7-76","378.303213426826","18929.8726894057","Yes","1"
"Hypi Flee WI-K d8-162","426.230459137865","18509.799087082","Yes","1"
"Agnairr NF-L d9-71","408.0480055149","18128.3515158071","Yes","1"
"Agnairr DI-H d11-173","387.663020144429","17761.2743999289","Yes","1"
"Agnairr IY-F d12-66","415.05097696134","17377.9061287579","Yes","1"
"Cumbuia AC-D d12-131","346.470255137887","17033.1464039088","Yes","1"
"Phae Aob DF-A d179","421.112205068688","16635.8250940717","Yes","1"
"Phae Aob IF-A d105","396.591933994345","16246.6340537409","Yes","1"
"Phae Aob OA-A d35","382.709884205713","15906.7558621059","Yes","1"
"Agnaix HK-C d14-124","409.45377701007","15533.2912864105","Yes","1"
"Cumboa QO-Z d13-212","379.50119914995","15174.5115887796","Yes","1"
"Agnaix NE-E d13-81","428.825580983982","14793.4967264507","Yes","1"
"Agnairs CE-E d13-341","387.537548584005","14420.7073316911","Yes","1"
"Hypau Flee PO-Z d13-785","424.118839523856","14024.1180386404","Yes","1"
"Wepio NX-A d1-778","427.938565702631","13629.3726546376","Yes","1"
"Phrooe Flyoae KT-Y d1-207","428.68507275337","13240.2070214074","Yes","1"
"Phrooe Flyoae BM-T d4-192","413.464596617715","12838.2731346198","Yes","1"
"Phrooe Flyoae OY-P d6-644","427.578731099972","12416.1618544264","Yes","1"
"Phrooe Flyoae AV-N d7-474","390.805203434205","12063.8501710366","Yes","1"
"Phrae Flyou PK-M d8-696","428.113641500785","11657.651029449","Yes","1"
"Phrae Flyou WF-M d8-1271","418.079904612294","11267.6761875283","Yes","1"
"Phrae Flyou BG-M d8-1983","421.511488064457","10864.6508052096","Yes","1"
"Wepaa WG-K d9-1143","403.612275755613","10476.6337145231","Yes","1"
"Wepaa JT-G d11-2869","427.027053583479","10050.9576504147","Yes","1"
"Wepaa UU-E d12-2006","409.898555952415","9646.53628459662","Yes","1"
"Wepua RG-B d14-927","428.729123261778","9218.6628994826","Yes","1"
"Byoome VE-Y d1-3400","422.816909160307","8809.51495122071","Yes","1"
"Byoome EG-X e1-357","401.38673925919","8436.77051904434","Yes","1"
"Byoome YJ-P d6-2647","424.868638936275","8016.18509952238","Yes","1"
"Byoomiae PE-P d6-3845","417.318900186806","7615.70997881651","Yes","1"
"Byoomiae WP-N d7-4287","414.882441698474","7214.41310565069","Yes","1"
"Byoomiae CQ-N d7-5312","428.937317863869","6791.05121577171","Yes","1"
"Scheau Pri WG-K d9-2984","417.580895980048","6382.31289216657","Yes","1"
"Scheau Pri NZ-E d12-6509","397.731709441569","6002.25377291665","Yes","1"
"Scheau Pri OT-G d11-7403","425.819765459813","5610.52196447596","Yes","1"
"Schee Pri LF-D d13-5683","407.527798131612","5207.23719585225","Yes","1"
"Schee Pri MP-D d13-4620","414.450824981837","4816.52486816627","Yes","1"
"Juenoi NH-C d2754","421.918435264003","4400.67923434926","Yes","1"
"Juenoi XY-Y d1-4493","400.786291391294","4029.02067839731","Yes","1"
"Phroi Pruae TK-V d3-7706","403.374537592701","3629.86979874752","Yes","1"
"Phroi Pruae GX-R d5-7013","417.138394816022","3213.05795327953","Yes","1"
"Phroi Pruae TJ-O d7-7828","428.275649817454","2785.56541787581","Yes","1"
"Phraa Pruae SQ-K d9-8030","425.249272026861","2367.05403955463","Yes","1"
"Phraa Pruae DI-H d11-2528","417.79319911478","1961.86611503444","Yes","1"
"Phraa Pruae QU-D d13-7093","412.316894729876","1556.12981275362","Yes","1"
"Systimbu OD-B e611","425.360336674243","1171.75880923988","Yes","1"
"Systimbu NI-A d1-8583","414.080564464438","765.066798426574","Yes","1"
"Systimbu WO-Y d1-7530","412.704951452154","355.088062635964","Yes","1"
"Systimbu CA-X d2-8816","355.088062635964","0","No","1"
