"System Name","Distance To Arrival","Distance Remaining","Neutron Star","Jumps"
"Stuemeae FG-Y d7561","0","25842.6259809602","No","0"
"Myrielk GC-D d12-9710","500.18345462565","25531.4740155793","Yes","8"
"Myrielk GW-N d6-4463","424.952151488479","25118.6066793661","Yes","1"
"Myrielk NR-W d1-3593","421.823161166946","24708.4962945085","Yes","1"
"Zuni EH-D d12-8800","421.813277892304","24292.5950761581","Yes","1"
"Zuni RD-T e3-2382","427.164677974871","23882.3904913852","Yes","1"
"Zuni PC-V d2-5700","425.735092681617","23458.5517649573","Yes","1"
"Dumbooe FH-D d12-7049","423.744374501745","23038.6260320855","Yes","1"
"Dumbooe LC-M d7-6253","426.150838447345","22613.733299377","Yes","1"
"Dumbooe TS-U d2-4347","424.752138200916","22189.116371867","Yes","1"
"Shrogea KI-B d13-8385","427.174019081363","21768.4886765421","Yes","1"
"Shrogea MX-L d7-2904","428.754917519176","21343.0368809539","Yes","1"
"Dryaa Pri OO-X d2-896","415.573092388316","20931.8586429406","Yes","1"
"Ogairy LI-B d13-9564","428.248651167242","20516.4620607272","Yes","1"
"Ogairy RD-K d8-9214","428.50173775355","20088.8769524079","Yes","1"
"Leamuae OO-X d2-3277","428.549088540697","19666.9433203887","Yes","1"
"Dryaa Flyi HE-E d13-3630","425.911569505998","19249.1504868863","Yes","1"
"Dryaa Flyi MZ-M d8-2634","428.137908108328","18822.5852708733","Yes","1"
"Dryaa Flyi OO-X d2-3081","423.034124057608","18401.2970333286","Yes","1"
"Eesholt JZ-D d13-1751","415.895519340871","17999.4743461116","Yes","1"
"Eesholt PU-M d8-2971","425.515885196649","17574.6577257356","Yes","1"
"Eesholt TU-V d3-1169","422.100931400373","17153.6355583062","Yes","1"
"Byeia Ain PO-Z d13-3144","428.490059914244","16735.6827967326","Yes","1"
"Byeia Ain QD-K d8-2525","428.785005631829","16307.3682320078","Yes","1"
"Byeia Ain UD-T d3-640","423.985286817243","15889.499711693","Yes","1"
"Blu Ain OO-Z d13-3738","428.014238637644","15464.5136174033","Yes","1"
"Blu Ain QD-K d8-1718","428.559503507827","15036.2019642841","Yes","1"
"Blu Ain WY-S d3-1518","426.819517349693","14610.9064068017","Yes","1"
"Pueloe PO-Z d13-41","427.150494465212","14194.1457227214","Yes","1"
"Pueloe UJ-I d9-83","424.630286111121","13773.7409618442","Yes","1"
"Pueloe YJ-R d4-127","401.991550945104","13397.0218382581","Yes","1"
"Pueloe HA-A d641","415.627087635734","13017.7963021195","Yes","1"
"Synookio ZU-G d10-38","424.625319675329","12622.4683278857","Yes","1"
"Synookio BV-P d5-59","384.470228295134","12259.0119569301","Yes","1"
"Synookio OR-W d1-122","406.738519976671","11870.4710969479","Yes","1"
"Eodgols BB-F d11-170","422.191252990351","11449.0547152613","Yes","1"
"Eodgols NX-L d7-368","313.136634327273","11136.1646723794","Yes","1"
"Eodgols QN-T d3-105","393.808891925227","10788.0687844782","Yes","1"
"Plaa Ain ID-A d14-118","386.272999416378","10414.071598505","Yes","1"
"Plaa Ain KI-J d9-31","428.756525551653","10005.7601367932","Yes","1"
"Plaa Ain OI-S d4-11","408.897092226455","9614.22718050288","Yes","1"
"Plaa Ain EA-Z d8","389.515284971672","9307.97417928658","Yes","1"
"Prieluia ZK-F d11-3","408.418463835271","8924.73695006915","Yes","1"
"Prieluia DL-O d6-13","423.024005903108","8509.83166615698","Yes","1"
"Prieluia QC-V d2-48","391.131033480549","8134.41433738808","Yes","1"
"Lysoorb HS-B d13-75","424.050156415783","7720.61223556734","Yes","1"
"Lysoorb PN-K d8-97","428.202595614068","7331.61855404864","Yes","1"
"Lysoorb RN-T d3-35","416.414182616749","6942.47753030495","Yes","1"
"Byeia Euq MT-Z d13-116","414.095949120642","6570.45004307579","Yes","1"
"Byeia Euq SO-I d9-2","404.662983089401","6179.03990111808","Yes","1"
"Byeia Euq BF-R d4-133","424.572038664377","5777.75045145573","Yes","1"
"Byeia Euq GA-A d123","400.532826272548","5377.44061486561","Yes","1"
"Thaileia ED-H d11-56","426.636807859229","5051.15367787786","Yes","1"
"Thaileia HI-Q d6-64","426.0810252042","4652.63226760703","Yes","1"
"Thaileia PO-X d2-95","369.587637082702","4310.70568378166","Yes","1"
"Drojaea GE-E d13-83","402.642397656562","3909.75263638691","Yes","1"
"Drojaea YQ-K d9-6","428.911805519576","3636.09462985035","Yes","1"
"Drojaea HI-Q d6-23","328.704483838162","3388.90261465871","Yes","1"
"Drojaea WP-V d3-41","290.587734505971","3150.42292191288","Yes","1"
"Blu Thua NT-Z d13-39","422.290170713515","2804.16433787128","Yes","1"
"Blu Thua UE-H d10-17","382.648686889325","2517.33243472412","Yes","1"
"Blu Thua LC-M d7-61","343.142966856564","2204.16250681417","Yes","1"
"Blu Thua SS-U d2-91","395.214529608999","1820.62821135573","Yes","1"
"Swoilz IZ-D d13-28","424.865539391582","1442.1069066051","Yes","1"
"Fine Ring Sector KC-V d2-43","478.486669787218","1147.10912162447","Yes","3"
"Praea Euq UD-T d3-44","405.887185344108","789.939146687104","Yes","1"
"PSR J1752-2806","469.966265827267","387.428811505256","Yes","3"
"31 Vulpeculae","387.428811505256","0","No","1"
